Date, Open, High, Low, Close, Volume
04/30/21,82.97,84.10,81.415,81.62,46601859
04/29/21,84.70,85.27,82.63,83.91,51294527
04/28/21,88.85,89.20,83.92,84.02,108920305
04/27/21,85.67,87.15,85.13,85.21,61909871
04/26/21,83.35,85.90,82.70,85.41,57594539
04/23/21,80.21,83.30,79.96,82.76,49267281
04/22/21,81.61,81.79,78.59,79.06,38846047
04/21/21,78.99,81.66,78.86,81.61,35068961
04/20/21,80.82,81.11,78.51,79.27,34977754
04/19/21,82.13,83.18,80.39,81.11,39115461
04/16/21,83.30,83.59,81.53,82.15,47280566
04/15/21,80.32,83.95,79.97,83.01,68942812
04/14/21,79.88,80.13,77.935,78.55,34263832
04/13/21,79.67,80.72,78.98,80.19,37767262
04/12/21,82.055,82.18,78.03,78.58,62098801
04/09/21,82.80,83.59,82.16,82.76,32759869
04/08/21,83.32,83.79,82.435,83.35,41925281
04/07/21,81.32,83.10,80.35,82.20,35590930
04/06/21,81.21,82.455,80.88,81.44,29327949
04/05/21,81.74,81.90,80.39,81.43,32610551
04/01/21,80.155,81.31,79.48,81.09,40182379
03/31/21,76.57,79.13,76.52,78.50,43659461
03/30/21,76.47,76.56,74.85,76.00,39169246
03/29/21,77.03,78.02,76.26,77.14,37144301
03/26/21,76.62,77.4995,75.03,77.41,49148660
03/25/21,75.85,76.95,74.96,76.22,44735102
03/24/21,77.55,78.80,76.40,76.48,43753641
03/23/21,80.13,80.34,77.95,78.38,40466641
03/22/21,79.99,81.265,79.22,80.30,39648609
03/19/21,78.49,79.34,77.59,79.06,42283391
03/18/21,81.055,81.62,78.01,78.12,51036500
03/17/21,81.75,83.25,80.411,82.63,43320566
03/16/21,83.66,84.75,82.255,82.75,42971551
03/15/21,81.91,83.39,81.20,82.50,39365422
03/12/21,79.73,81.19,79.23,81.05,32937949
03/11/21,79.40,81.89,79.37,81.23,43583719
03/10/21,79.75,80.04,77.41,77.52,45416621
03/09/21,76.73,79.215,75.77,78.53,45088340
03/08/21,78.03,79.00,73.86,73.96,54563871
03/05/21,79.00,79.48,74.20,78.52,58548910
03/04/21,80.23,81.8067,76.78,77.75,60549367
03/03/21,84.28,84.38,80.85,80.86,43541039
03/02/21,86.92,86.95,84.04,84.13,34828160
03/01/21,85.365,86.50,83.97,86.39,32746180
02/26/21,83.565,85.59,82.91,84.51,48962910
02/25/21,86.17,87.09,81.92,82.42,54625141
02/24/21,84.33,87.09,82.81,86.94,40821152
02/23/21,83.40,85.11,79.36,84.74,49720910
02/22/21,88.15,88.30,85.21,85.37,36930180
02/19/21,89.75,90.4163,88.69,89.58,29548270
02/18/21,89.09,89.60,87.31,88.64,35624953
02/17/21,90.56,90.96,88.5701,89.94,32284080
02/16/21,93.90,94.00,90.7499,91.46,35105922
02/12/21,92.75,94.22,91.90,93.77,38538352
02/11/21,92.90,93.65,91.33,92.66,35571031
02/10/21,91.50,93.27,90.46,92.35,42441301
02/09/21,91.39,93.30,90.55,90.91,37596449
02/08/21,88.31,91.99,87.98,91.47,47639887
02/05/21,88.15,88.36,86.875,87.90,30268680
02/04/21,88.22,88.60,87.06,87.84,30791641
02/03/21,88.60,89.48,87.34,87.89,32312891
02/02/21,88.49,89.28,86.95,88.86,33850047
02/01/21,86.83,87.95,84.66,87.66,42359340
01/29/21,87.56,88.33,85.02,85.64,56735832
01/28/21,89.83,89.88,87.30,87.52,47048359
01/27/21,91.10,91.88,86.22,88.84,73341195
01/26/21,94.91,95.7171,93.63,94.71,59449047
01/25/21,94.14,95.74,91.40,94.13,55086941
01/22/21,94.42,95.95,91.88,92.79,71294711
01/21/21,89.34,92.07,88.43,91.53,54596078
01/20/21,90.55,90.78,88.60,88.75,35185809
01/19/21,89.56,89.58,87.24,89.45,45115059
01/15/21,90.75,91.59,87.86,88.21,49340340
01/14/21,91.77,92.36,90.45,90.79,53408238
01/13/21,93.01,93.89,90.84,91.78,60712898
01/12/21,97.86,98.97,94.07,95.355,67672312
01/11/21,94.025,99.23,93.76,97.25,48669102
01/08/21,95.98,96.40,93.27,94.58,39816398
01/07/21,91.33,95.51,91.20,95.16,42897160
